Genre_ID,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Action,863.17,510.99,160.14000000000001,182.22,1717.62
2,Adventure,101.39,63.15,52.22,16.37,233.25
3,Fighting,220.51,99.0,87.28,35.87,442.63
4,Misc,394.01,208.55,107.02,73.0,783.19
5,Platform,444.44,199.39000000000001,130.71,51.01,825.86
6,Puzzle,121.13,49.78,56.68,12.3,240.33
7,Racing,356.86,234.48,56.63,75.51,723.69
8,Role-Playing,330.04,188.24,353.44,59.410000000000004,930.9
9,Shooter,584.83,314.52,38.68,103.33,1041.83
10,Simulation,180.67000000000002,113.17,63.64,30.59,388.22
11,Sports,671.2,371.33,134.93,132.21,1310.39
12,Strategy,67.69,44.69,49.3,10.73,172.69
